SALARY,148,129,178,159,192,190,192,181,192,172,214,209,210,201,247,223,235,237,248,224,226,204,236,237,265,289,268,264,298,255,296,296,287,266,284,270
PER,291,587,227,170,359,1051,458,252,319,151,159,3350,292,173,3146,323,1370,269,1486,939,490,928,5921,536,276,1345,414,2505,192,874,1009,287,440,349,326,568,535
